时间,商品名称,库存变化,单笔销量
2026-03-22 21:23:46,日本地址,初始销量: -3,3
2026-03-22 21:23:46,国际地址,初始销量: -84,84
2026-03-22 21:23:46,中国地址,初始销量: 0,0
2026-03-22 21:23:46,韩国地址,初始销量: -351,351
2026-03-22 21:24:03,日本地址,初始销量: -3,3
2026-03-22 21:24:03,国际地址,初始销量: -84,84
2026-03-22 21:24:03,中国地址,初始销量: 0,0
2026-03-22 21:24:03,韩国地址,初始销量: -351,351
2026-03-22 21:24:51,日本地址,初始销量: -3,3
2026-03-22 21:24:51,国际地址,初始销量: -84,84
2026-03-22 21:24:51,中国地址,初始销量: 0,0
2026-03-22 21:24:51,韩国地址,初始销量: -351,351
2026-03-22 21:26:42,日本地址,初始销量: -3,3
2026-03-22 21:26:42,国际地址,初始销量: -84,84
2026-03-22 21:26:42,中国地址,初始销量: 0,0
2026-03-22 21:26:42,韩国地址,初始销量: -351,351
2026-03-22 21:28:41,日本地址,初始销量: -3,3
2026-03-22 21:28:41,国际地址,初始销量: -84,84
2026-03-22 21:28:41,中国地址,初始销量: 0,0
